pay_pk,order_id,payment_sequential,payment_type,payment_installments,payment_value
1,00125cb692d04887809806618a2a145f,1,credit_card,1,135.41
2,001c85b5f68d2be0cb0797afc9e8ce9a,1,credit_card,4,112.71
3,002f16b7bc4530031b7d90f791b12d8a,1,debit_card,1,284.13
4,00345f338696283410b7977d2e3efc89,1,credit_card,1,67.34
5,00471463a6106056c1a2a809f70de640,1,credit_card,5,265.96
6,00571ded73b3c061925584feab0db425,1,credit_card,4,389.82
7,006dd93155bc2abd844cc5eed3a0fe7f,1,credit_card,3,57.68
8,008fab5602c441d51f30b1464f5d4643,1,credit_card,1,65.55
9,00946f674d880be1f188abc10ad7cf46,1,credit_card,4,232.72
10,00a0116ff15ff973ea16bee881208ae7,1,credit_card,10,194.12
11,00a174dbf11967d260033fa6ab711493,1,credit_card,1,291.43
12,00a77f9cc25b05b2004752593d7b8888,1,credit_card,9,196.4
13,00ab1aba567dfebdc39caa4e7ca2f1b2,1,credit_card,1,48.38
14,00bd2cb7e9076e1ccc9f766fc01a4cfd,1,credit_card,2,112.62
15,00bdcdda88e6b02977fc6ce3d412c600,1,credit_card,1,137.83
16,00f2c876aa08fbba04199823952e96c1,1,boleto,1,86.22
17,00f57f2ccce2a2e3f393fe8f5e616e0d,1,credit_card,8,285.81
18,011b142c9e082a5c1d10e0a88cd9c8e8,1,credit_card,1,297.2
19,011e6e76dd0cd56d26b5b0cb036e80a8,1,credit_card,1,23.28
20,0132451f29a10b66a5cf1bacc85f9afe,1,credit_card,3,215.56
21,01380d0df5b7dc8bd13f2266a57bd42c,1,credit_card,2,27.86
22,016fbc333d66b414be541c6159576c40,1,credit_card,2,103.42
23,01835ef41c5ac66dd9ec6084fa1d0533,1,credit_card,1,72.14
24,01855f880aae9a984c7c33b26fcf2e02,1,credit_card,2,95.52
25,019440e41e276668d99d996d5d1a22c1,1,boleto,1,56.97
26,0197cb265e2c84b9f89dfd784095d2f6,1,boleto,1,378.91
27,01a75ac3dd000b7628a684be97c29234,1,credit_card,5,58
28,01bdc09119b132e176e5c8f2cf68b0ac,1,credit_card,10,384.66
29,01c4f4e08d9e8b7c5bd47e612285993f,1,boleto,1,62.41
30,0231382a78f19752dabca6a86b618152,1,credit_card,3,86.02
31,02440f65dc09737b491463739c347446,1,credit_card,3,135.49
32,02608b91ec6070ff5fcd4b63dd964232,1,credit_card,1,38.28
33,02610d88ac343ed64988d2706ce3ebfd,1,boleto,1,43.11
34,02645c905eb7d1591a679f9bc3b669fd,1,boleto,1,20.55
35,02671152ed141efc95384bdd230bc544,1,credit_card,1,62.51
36,027b013d2186e25c2b82beb3679d0833,1,credit_card,4,139.17
37,029e3b4c8e64bea4ba22e456cd1930a3,1,credit_card,1,87.64
38,02a0929986b1647b2df9bb303b4851b9,1,credit_card,1,298.58
39,02acaa2a6f24e9c4e0bec7141b65f29b,1,credit_card,4,44
40,02aec12849744e266394182861265286,1,credit_card,4,210.64
41,02bee300cb834a5d334ae42fdc325e7a,1,credit_card,8,204.53
42,02bfd16c1a67263989b258fa92e20d3b,1,credit_card,3,90.89
43,02c371100bf54facae80322579c7fefb,1,credit_card,1,59.24
44,02ea547b6d2ee25305588fd50df58b46,1,credit_card,1,39.64
45,0300095becf10f9b2993706759522741,1,credit_card,1,98.93
46,0301ec492e902f2630234df285fa2a1b,1,credit_card,3,379.2
47,03054d8a8eefc2981cfad06f58e27979,1,credit_card,7,74.06
48,0306b467a7c7d400d265b71cf6608e15,1,boleto,1,75.08
49,030e16ae69706dde9e78557f9b501657,1,credit_card,7,415.62
50,032c9c5e050a01a77c20be3989064308,1,credit_card,1,50.09
51,0334c2700a7e8ac0f3efeb36b4a91e68,1,credit_card,6,71.15
52,0341b60065c49221a27293793f11b117,1,credit_card,4,125.33
53,0350e1e5b7265e23e84b1e467e0b6b82,1,credit_card,3,37.76
54,0350fc2d00f48ad8a74efdf4d2fd4bdc,1,credit_card,4,89.58
55,035d66b23a4bba74f8119f9ebe3458ee,1,credit_card,1,114.57
56,036b791897847cdb8e39df7943367474,1,boleto,1,59.33
57,03720fdc92032ee4abd471d172006ab0,1,credit_card,1,143.49
58,038297c93a230b204ceeca7e2720b464,1,boleto,1,44.09
59,039450cd44c5b6c68f8d2bada4eb315f,1,credit_card,3,124.46
60,039ec885e36627ae6353cfd42a41c5da,1,credit_card,4,125.25
61,039ff75de38e514eaa8ffb2618d5227e,1,credit_card,8,84.12
62,03a54d3b0f15ac01bad656997420d3bb,1,boleto,1,81.42
63,03ab852861cd75d0a9225c92a3354a3a,1,credit_card,6,123.06
64,03b89e8b0ef3ba18cc903dbaa7aff107,1,credit_card,4,47.2
