review_pk,order_id,review_score,review_creation_date,review_answer_timestamp
1,00125cb692d04887809806618a2a145f,5,4/8/2017 0:00,4/13/2017 16:42
2,001c85b5f68d2be0cb0797afc9e8ce9a,2,12/16/2017 0:00,12/20/2017 21:03
3,002f16b7bc4530031b7d90f791b12d8a,5,7/7/2018 0:00,7/8/2018 0:15
4,00345f338696283410b7977d2e3efc89,5,8/31/2018 0:00,9/2/2018 16:58
5,00471463a6106056c1a2a809f70de640,5,10/13/2017 0:00,10/19/2017 14:10
6,00571ded73b3c061925584feab0db425,5,5/31/2017 0:00,6/1/2017 0:46
7,006dd93155bc2abd844cc5eed3a0fe7f,5,12/8/2017 0:00,12/9/2017 13:10
8,008fab5602c441d51f30b1464f5d4643,5,3/4/2017 0:00,3/6/2017 0:23
9,00946f674d880be1f188abc10ad7cf46,4,12/18/2017 0:00,12/20/2017 15:00
10,00a0116ff15ff973ea16bee881208ae7,5,3/4/2018 0:00,3/5/2018 3:50
11,00a174dbf11967d260033fa6ab711493,1,12/20/2017 0:00,12/20/2017 22:22
12,00ab1aba567dfebdc39caa4e7ca2f1b2,5,9/13/2017 0:00,9/13/2017 23:46
13,00b1cb0320190ca0daa2c88b35206009,1,8/28/2018 0:00,8/28/2018 18:25
14,00bd2cb7e9076e1ccc9f766fc01a4cfd,1,5/1/2018 0:00,5/22/2018 18:23
15,00bdcdda88e6b02977fc6ce3d412c600,5,6/19/2018 0:00,6/21/2018 11:59
16,00f2c876aa08fbba04199823952e96c1,3,4/19/2017 0:00,4/22/2017 10:21
17,00f57f2ccce2a2e3f393fe8f5e616e0d,5,7/17/2018 0:00,7/18/2018 19:23
18,011b142c9e082a5c1d10e0a88cd9c8e8,5,4/15/2018 0:00,4/16/2018 0:10
19,011e6e76dd0cd56d26b5b0cb036e80a8,5,4/12/2018 0:00,4/15/2018 11:09
20,0130f0f71fb0e831d18e6a3b33a3a50c,1,5/25/2017 0:00,6/2/2017 15:11
21,0132451f29a10b66a5cf1bacc85f9afe,5,11/18/2017 0:00,11/20/2017 10:22
22,01380d0df5b7dc8bd13f2266a57bd42c,5,4/22/2017 0:00,4/24/2017 21:33
23,016fbc333d66b414be541c6159576c40,5,6/12/2018 0:00,6/13/2018 1:43
24,01835ef41c5ac66dd9ec6084fa1d0533,1,5/24/2017 0:00,5/27/2017 13:16
25,01855f880aae9a984c7c33b26fcf2e02,5,10/25/2017 0:00,10/26/2017 11:43
26,019440e41e276668d99d996d5d1a22c1,4,6/20/2018 0:00,6/22/2018 12:38
27,0197cb265e2c84b9f89dfd784095d2f6,4,12/29/2017 0:00,1/3/2018 19:09
28,01a75ac3dd000b7628a684be97c29234,1,2/8/2018 0:00,2/8/2018 21:13
29,01bdc09119b132e176e5c8f2cf68b0ac,5,8/28/2018 0:00,8/30/2018 14:52
30,01c4f4e08d9e8b7c5bd47e612285993f,4,12/5/2017 0:00,12/6/2017 1:26
31,0231382a78f19752dabca6a86b618152,5,3/24/2017 0:00,3/27/2017 3:17
32,02440f65dc09737b491463739c347446,1,3/21/2018 0:00,3/22/2018 13:14
33,02608b91ec6070ff5fcd4b63dd964232,5,3/2/2018 0:00,3/5/2018 17:54
34,02610d88ac343ed64988d2706ce3ebfd,5,2/23/2018 0:00,2/23/2018 22:49
35,02645c905eb7d1591a679f9bc3b669fd,5,1/31/2018 0:00,1/31/2018 19:09
36,02671152ed141efc95384bdd230bc544,3,12/13/2017 0:00,12/13/2017 22:56
37,027b013d2186e25c2b82beb3679d0833,1,5/4/2018 0:00,5/7/2018 12:40
38,029e3b4c8e64bea4ba22e456cd1930a3,5,8/25/2017 0:00,8/27/2017 21:47
39,02a0929986b1647b2df9bb303b4851b9,4,6/30/2018 0:00,7/1/2018 1:54
40,02acaa2a6f24e9c4e0bec7141b65f29b,2,9/14/2017 0:00,9/18/2017 19:03
41,02aec12849744e266394182861265286,5,9/13/2017 0:00,9/14/2017 2:33
42,02bee300cb834a5d334ae42fdc325e7a,5,6/22/2018 0:00,7/16/2018 10:52
43,02bfd16c1a67263989b258fa92e20d3b,4,8/30/2018 0:00,8/31/2018 0:16
44,02c371100bf54facae80322579c7fefb,5,11/17/2017 0:00,11/18/2017 22:33
45,02ea547b6d2ee25305588fd50df58b46,4,4/20/2017 0:00,4/24/2017 15:14
46,0300095becf10f9b2993706759522741,3,7/11/2018 0:00,7/12/2018 1:11
47,0301ec492e902f2630234df285fa2a1b,4,9/27/2017 0:00,9/27/2017 11:50
48,03054d8a8eefc2981cfad06f58e27979,5,10/20/2017 0:00,10/20/2017 23:45
49,0306b467a7c7d400d265b71cf6608e15,5,2/10/2018 0:00,2/21/2018 19:20
50,030e16ae69706dde9e78557f9b501657,4,6/1/2017 0:00,6/2/2017 10:56
51,032c9c5e050a01a77c20be3989064308,5,8/25/2017 0:00,8/28/2017 10:50
52,03310aa823a66056268a3bab36e827fb,1,8/3/2018 0:00,8/6/2018 0:09
53,0334c2700a7e8ac0f3efeb36b4a91e68,3,9/20/2017 0:00,9/21/2017 12:26
54,0341b60065c49221a27293793f11b117,5,5/21/2018 0:00,5/21/2018 19:46
55,0350e1e5b7265e23e84b1e467e0b6b82,4,2/24/2018 0:00,2/27/2018 12:13
56,0350fc2d00f48ad8a74efdf4d2fd4bdc,1,1/14/2018 0:00,1/19/2018 1:38
57,035d66b23a4bba74f8119f9ebe3458ee,5,6/7/2018 0:00,6/11/2018 4:39
58,036b791897847cdb8e39df7943367474,3,5/18/2017 0:00,5/21/2017 12:06
59,03720fdc92032ee4abd471d172006ab0,2,8/19/2018 0:00,8/19/2018 18:51
60,038297c93a230b204ceeca7e2720b464,5,3/3/2018 0:00,3/4/2018 5:30
61,039450cd44c5b6c68f8d2bada4eb315f,4,1/28/2018 0:00,1/29/2018 18:48
62,039ec885e36627ae6353cfd42a41c5da,1,3/21/2018 0:00,3/23/2018 18:24
63,039ff75de38e514eaa8ffb2618d5227e,5,1/10/2018 0:00,1/14/2018 20:16
64,03a54d3b0f15ac01bad656997420d3bb,5,6/7/2018 0:00,6/8/2018 1:59
65,03ab852861cd75d0a9225c92a3354a3a,1,12/17/2017 0:00,12/18/2017 8:14
66,03b89e8b0ef3ba18cc903dbaa7aff107,5,7/13/2018 0:00,7/13/2018 22:26
67,03c7acb8cfb3a3567a70fee4a1e2f82d,5,4/18/2018 0:00,4/25/2018 18:49
68,03d842e44ef7cae41da34acb402983fa,4,7/28/2018 0:00,7/30/2018 19:20
69,03e707d64a286c3fbad59b8c89cafd95,5,4/18/2018 0:00,4/18/2018 23:21
70,03e94224875e6dec154cc7a142ce5de2,5,4/26/2018 0:00,4/27/2018 0:54
71,03ebfa9712b7dbc7031291856263b314,5,3/28/2018 0:00,3/28/2018 19:31
