product_pk,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
31912,002159fe700ed3521f46cfcf6e941c76,fashion_calcados,55,344,3,1850,36,37,16
23311,0036bb031e69d915cd384d1b3838b5d3,ferramentas_jardim,53,866,3,200,18,5,13
28027,0042f1a9a7e0edd1400c6cd0fda065f8,beleza_saude,60,1883,3,175,23,11,13
18933,004636c889c7c3dad6631f136b7fa082,utilidades_domesticas,46,647,1,550,30,10,25
28211,008cff0e5792219fae03e570f980b330,esporte_lazer,59,1735,5,1550,40,20,20
18351,009c09f439988bc06a93d6b8186dce73,perfumaria,39,991,3,150,20,20,20
27986,00ae7076313576f94d9107599d79a978,esporte_lazer,38,440,1,600,22,33,16
25389,00ba6d766f0b1d7b78a5ce3e1e033263,utilidades_domesticas,52,418,1,7850,28,62,28
12024,00baba5b58e274d0332a0c8a0a66f877,perfumaria,27,406,4,200,18,7,12
14647,00c744ca2f3b0e76ce227b146095d3f9,brinquedos,41,569,1,350,17,15,17
4423,00d2add85b1f5aba6bb3d5d977314e25,casa_construcao,60,935,1,9050,56,26,28
1629,0105b5323d24fc655f73052694dbbb3a,pc_gamer,59,621,4,2839,19,16,18
8199,010951987d78f9d52fbf50a43b690ba1,informatica_acessorios,55,441,1,1100,40,20,20
9674,010f24a605e8431fc68562e597f80d63,informatica_acessorios,20,153,3,500,16,15,15
12692,011967a30ceeaa86acb72e79664544ad,esporte_lazer,55,468,1,4100,17,105,12
30716,011be89e68e286ac07f51c22ecbb04aa,esporte_lazer,59,1301,6,450,25,15,28
2088,013298e0648d412de0d65690045493bc,perfumaria,52,733,1,350,17,16,17
11166,0134eb6b933b7ebc0f9e24ae5abefaa0,eletrodomesticos,58,290,1,1150,55,19,46
10287,013ee64977aaa6b2b25475095162e0e9,cama_mesa_banho,40,519,2,1350,45,10,55
20275,014a8a503291921f7b004a5215bb3c36,bebes,37,497,4,150,16,7,11
28427,0152f69b6cf919bcdaf117aa8c43e5a2,cama_mesa_banho,40,116,1,250,40,4,30
18168,015f06d7b83e5a6f7d1765fb5d8bdfa6,fashion_roupa_masculina,42,574,2,400,16,2,11
31104,016711f78a6a87696645db0a6a834826,beleza_saude,14,1366,2,1150,27,22,39
30804,0168e1b28d8e55a515928cf656eff0a4,automotivo,50,340,1,950,22,19,19
24562,017692475c1c954ff597feda05131d73,perfumaria,54,933,1,50,16,5,11
10629,0192191cc1bc83262d6667c54c2e048f,fashion_calcados,54,404,4,850,22,12,33
2717,01a2ad2b54cd734f78cb817da7752d8b,perfumaria,44,280,1,430,19,14,12
30330,01bd9be7c04525d23a4a901b4abbf56c,utilidades_domesticas,28,331,1,8150,40,11,40
3043,01c9a70868bec5b748c67fcc26ce5895,brinquedos,39,601,2,750,30,17,30
14842,01caf54032309b518a584331b8a673f6,malas_acessorios,45,223,1,800,46,10,32
693,01cf8c7364048b4b6ed0fe400667054d,brinquedos,42,241,1,1200,30,16,20
20846,01d15932271068f9fd1f369b8449cac1,cool_stuff,51,751,5,4900,78,2,62
9152,01d4157fd9738ea81038316ae4cfc192,cama_mesa_banho,52,228,1,355,34,21,40
7100,01ef0716b68c8493434ad32430c24e18,cama_mesa_banho,59,641,2,1250,16,10,16
32691,01f2d77d8a63937c77c7128ce4bd2ada,automotivo,60,753,2,650,60,6,33
28923,020a80cb704bf65f38761fcedf2af192,automotivo,35,1512,3,800,26,9,24
16208,022649cdc8ef07dddfa3de3409647e00,construcao_ferramentas_ferramentas,56,286,1,825,21,16,16
12124,02475368dfb38934fe55f574024fe1d7,relogios_presentes,55,569,5,250,16,2,11
25804,02706657691ad03bacea6d0d0d69d13d,eletroportateis,49,1353,2,4550,23,54,25
17356,027325f946f1b3d8f94c3496e9a59a10,construcao_ferramentas_seguranca,54,335,3,300,20,20,20
8887,027cdd14a677a5834bc67a9789db5021,perfumaria,42,544,1,341,20,18,16
28426,028b0b0277744a9eaa2c4f57c24dcb68,moveis_decoracao,39,677,1,13150,35,45,35
